pr_number,repo,commit,duration
4326,accumulo,a6f1073ac9b95a4a36508e018ac6f24fa499c37f,0:10:21.626700
4326,accumulo,a06db581402d3b0578dc9f8f74e04cd1b36e71c4,0:13:12.394144
4311,accumulo,d0bf0e5471a9311c98479c70315f0def4e5c7281,0:08:10.677393
4311,accumulo,0f88522f6bcc3581f6dfe0b9d4bd96e441c475a5,0:08:24.879616
4311,accumulo,08a37260cb4c0ff4ecf5bdcc857c21e76f82d3e8,0:07:43.769488
4311,accumulo,990ff8d680e3b3486d6ab5db51e22c5445fafa21,0:08:16.947041
4310,accumulo,f9d79650fcbc5bf430c573242e43de7e05b2dbe9,0:08:07.775058
4310,accumulo,8b1d20febb889c8482a5a6cee16bd8ce5ec4b761,0:07:46.987352
4310,accumulo,9c7a28731fc3d09b6d9324e1b0caa705e5be73e7,0:07:08.647244
4310,accumulo,630c9ce21d2de8cd31df2dab6ea9ca90a896bb79,0:07:31.335067
4310,accumulo,c0da69d961120bb92db359ee9e0950066d70d01a,0:07:38.840770
4302,accumulo,d7348ae5219e40f7e960eb585b14960a1a242bcd,0:06:50.404213
4302,accumulo,9ea35ac9961ea60310e1a2f1cdef572515bf4156,0:09:25.420227
4302,accumulo,989d295ae3d87825506cd5d895e47dedcd239b21,0:10:47.171386
4301,accumulo,ea5afb9d85e342834554504cdf541a43dcc79a84,0:11:17.842955
4301,accumulo,6e700b6618f02de1d5454bd607b9b276bad9d5d5,0:11:03.457133
4299,accumulo,d7348ae5219e40f7e960eb585b14960a1a242bcd,0:10:07.892464
4299,accumulo,ed9a8cd5c52d220368027e2dd885e73b930edd24,0:09:00.565747
4299,accumulo,3025404f0bac56c6311a12febd67b39f7255239a,0:10:08.062874
4299,accumulo,63bd21cdd6ba0537b84f1f4332b3d72d78fd5a97,0:09:37.210094
4299,accumulo,faa7515e6116ab4db8a984276a7bfc54e0ee800b,0:09:18.266998
4299,accumulo,da5c8aff13fa0cc442190908e40867c5d03ce8d5,0:08:15.597648
4296,accumulo,a4af4f0155dc0d3db17ae3cbb0ea9a3d8159c13d,0:08:11.441160
4296,accumulo,2396fdbf9d93d5145b68a3c28c36014e918125cc,0:08:12.203757
4296,accumulo,b68ab6a3c3e45370c9864ff8f942e3b65e9fb35f,0:08:20.744856
4296,accumulo,fa54445552974c124cb193acc1532fd4af2f92a0,0:07:09.621425
4295,accumulo,f2adaebba28b5e47ea03a850254e901a0c7be371,0:10:24.228319
4295,accumulo,63519dc2186937f9568e055f1db26a9bce6f603e,0:10:02.095116
4295,accumulo,aa27aef1dda4014486d3211f967b13380791d001,0:10:07.591342
4292,accumulo,00bac7ae5633147502ce57b28532942323f05030,0:10:19.072493
4292,accumulo,ae77fd93e08dad484e98aec22fea692629984547,0:10:17.617702
4291,accumulo,5d8d9cd57ffcfdab21f42fb4b4a9dfa36a16cd26,0:08:40.338982
4291,accumulo,01e600cc311a059936c3f75356151551560161d1,0:07:28.318265
4288,accumulo,f9751eb80c5fa1b03b043c8480efc93a2060b979,0:08:06.030430
4288,accumulo,cd8f33d364aa2486dde163aab8e2959f6ee8c2b9,0:07:59.359807
4282,accumulo,f28b55dc254051fea8a3666628fee9868f800a5d,0:10:30.443310
4282,accumulo,8f1f4263236d8f00d2078bebe9573eaeafaac9ce,0:10:33.488637
4282,accumulo,ebd560498941c7f0ca857166d49ae5afd0bd350e,0:09:51.319296
4279,accumulo,da7b3b005e13276c202b4f337496f9ecf2c039e5,0:07:50.257784
4279,accumulo,59785cd5122c4cb324354141149e7543190d4f60,0:07:55.304093
